iter	Passed	Remaining
0	1	162
1	3	163
2	4	144
3	5	130
4	6	126
5	7	120
6	8	116
7	9	113
8	10	111
9	12	108
10	13	106
11	14	105
12	15	104
13	17	105
14	18	103
15	19	101
16	20	100
17	21	98
18	22	96
19	23	94
20	24	93
21	25	92
22	27	90
23	28	89
24	29	88
25	31	88
26	32	86
27	33	85
28	34	83
29	35	82
30	36	81
31	37	79
32	38	78
33	39	77
34	40	76
35	42	74
36	43	73
37	44	72
38	46	72
39	47	71
40	48	70
41	49	68
42	50	67
43	51	65
44	52	64
45	53	63
46	55	62
47	56	60
48	57	59
49	58	58
50	59	57
51	61	56
52	62	55
53	63	53
54	63	52
55	65	51
56	66	50
57	67	48
58	68	47
59	69	46
60	70	45
61	72	44
62	73	42
63	74	41
64	75	40
65	76	39
66	78	38
67	79	37
68	80	36
69	81	34
70	82	33
71	83	32
72	84	31
73	85	30
74	87	29
75	88	27
76	89	26
77	90	25
78	92	24
79	93	23
80	94	22
81	95	20
82	96	19
83	98	18
84	99	17
85	100	16
86	101	15
87	102	13
88	103	12
89	105	11
90	106	10
91	107	9
92	108	8
93	109	7
94	110	5
95	111	4
96	112	3
97	113	2
98	114	1
99	115	0
