iter	Passed	Remaining
0	609	609193
1	611	305147
2	612	203715
3	614	152993
4	615	122557
5	617	102264
6	621	88150
7	622	77246
8	624	68758
9	625	61967
10	627	56413
11	628	51787
12	630	47874
13	632	44516
14	633	41611
15	636	39171
16	638	36919
17	640	34921
18	641	33126
19	643	31509
20	644	30048
21	646	28720
22	652	27706
23	654	26615
24	655	25583
25	657	24629
26	658	23742
27	660	22922
28	661	22158
29	665	21522
30	667	20854
31	669	20246
32	671	19678
33	673	19139
34	685	18896
35	687	18396
36	688	17931
37	690	17478
38	691	17047
39	696	16718
40	700	16373
41	701	16001
42	703	15646
43	704	15306
44	706	14982
45	707	14673
46	714	14479
47	715	14193
48	717	13917
49	718	13652
50	719	13393
51	721	13147
52	722	12916
53	725	12711
54	727	12501
55	729	12290
56	730	12086
57	732	11889
58	733	11698
59	735	11520
60	738	11373
61	740	11199
62	741	11031
63	743	10867
64	744	10709
65	745	10555
66	747	10407
67	749	10271
68	752	10149
69	753	10013
70	755	9882
71	756	9755
72	758	9634
73	760	9512
74	761	9393
75	763	9276
76	767	9196
77	769	9099
78	771	8991
79	772	8885
80	774	8781
81	775	8680
82	776	8573
83	777	8477
84	779	8389
85	784	8340
86	786	8251
87	787	8163
88	789	8077
89	790	7993
90	791	7910
91	798	7879
92	799	7801
93	801	7722
94	802	7644
95	803	7567
96	804	7492
97	805	7417
98	807	7344
99	808	7274
100	814	7246
101	815	7177
102	816	7110
103	817	7043
104	818	6978
105	819	6914
106	820	6851
107	822	6789
108	823	6728
109	828	6700
110	830	6651
111	831	6594
112	832	6537
113	833	6481
114	835	6426
115	836	6372
116	836	6316
117	838	6265
118	840	6220
119	842	6174
120	847	6155
121	848	6107
122	850	6065
123	852	6024
124	858	6008
125	859	5962
126	860	5916
127	861	5872
128	863	5827
129	864	5783
130	865	5739
131	866	5697
132	867	5654
133	872	5639
134	875	5610
135	877	5572
136	878	5534
137	880	5497
138	881	5460
139	882	5423
140	889	5418
141	890	5378
142	891	5341
143	892	5304
144	893	5267
145	894	5232
146	895	5197
147	896	5162
148	897	5128
149	898	5094
150	903	5078
151	905	5051
152	906	5019
153	907	4986
154	908	4954
155	910	4923
156	911	4892
157	912	4861
158	913	4832
159	919	4825
160	919	4794
161	921	4765
162	922	4736
163	923	4707
164	924	4679
165	925	4651
166	926	4623
167	928	4596
168	929	4569
169	930	4543
170	931	4517
171	933	4492
172	934	4468
173	936	4444
174	937	4419
175	938	4396
176	940	4372
177	941	4348
178	947	4347
179	949	4325
180	951	4303
181	952	4282
182	955	4263
183	956	4241
184	963	4243
185	964	4221
186	966	4200
187	967	4178
188	968	4157
189	970	4136
190	971	4116
191	977	4113
192	979	4097
193	981	4077
194	982	4057
195	984	4037
196	985	4017
197	987	3997
198	988	3978
199	1011	4044
200	1012	4025
201	1013	4005
202	1015	3986
203	1016	3967
204	1018	3948
205	1019	3930
206	1024	3924
207	1025	3906
208	1027	3888
209	1028	3870
210	1030	3852
211	1031	3834
212	1033	3817
213	1034	3800
214	1036	3782
215	1042	3784
216	1044	3768
217	1049	3763
218	1051	3748
219	1058	3751
220	1059	3735
221	1061	3718
222	1062	3702
223	1064	3687
224	1066	3674
225	1073	3676
226	1075	3663
227	1078	3653
228	1081	3641
229	1087	3640
230	1091	3633
231	1092	3617
232	1094	3602
233	1095	3586
234	1097	3571
235	1098	3556
236	1104	3554
237	1105	3539
238	1106	3524
239	1108	3509
240	1109	3495
241	1111	3480
242	1112	3465
243	1117	3462
244	1119	3449
245	1120	3435
246	1122	3421
247	1123	3407
248	1125	3393
249	1126	3379
250	1128	3366
251	1129	3352
252	1131	3339
253	1132	3325
254	1133	3312
255	1135	3300
256	1140	3298
257	1142	3284
258	1143	3270
259	1144	3257
260	1145	3244
261	1146	3230
262	1148	3217
263	1149	3204
264	1153	3198
265	1154	3185
266	1155	3172
267	1156	3159
268	1157	3146
269	1158	3133
270	1160	3120
271	1161	3107
272	1162	3095
273	1163	3083
274	1164	3070
275	1170	3070
276	1172	3060
277	1173	3048
278	1175	3036
279	1176	3024
280	1177	3013
281	1178	3001
282	1179	2989
283	1186	2990
284	1187	2979
285	1188	2967
286	1189	2956
287	1191	2944
288	1192	2933
289	1193	2922
290	1194	2911
291	1198	2905
292	1199	2894
293	1201	2884
294	1202	2873
295	1203	2862
296	1204	2852
297	1206	2842
298	1207	2831
299	1209	2821
300	1210	2810
301	1215	2809
302	1217	2801
303	1219	2791
304	1220	2782
305	1222	2771
306	1223	2761
307	1224	2751
308	1227	2744
309	1230	2739
310	1232	2729
311	1233	2719
312	1234	2709
313	1235	2700
314	1237	2690
315	1238	2680
316	1239	2670
317	1245	2670
318	1246	2661
319	1247	2651
320	1249	2641
321	1250	2632
322	1251	2622
323	1252	2613
324	1253	2603
325	1254	2594
326	1259	2592
327	1263	2588
328	1264	2579
329	1265	2569
330	1266	2560
331	1267	2551
332	1269	2542
333	1270	2532
334	1275	2531
335	1276	2522
336	1277	2513
337	1278	2504
338	1280	2495
339	1281	2487
340	1282	2478
341	1283	2469
342	1287	2465
343	1288	2457
344	1289	2448
345	1291	2440
346	1292	2431
347	1293	2423
348	1294	2414
349	1295	2406
350	1297	2398
351	1298	2390
352	1304	2390
353	1307	2385
354	1308	2377
355	1310	2370
356	1311	2362
357	1313	2355
358	1314	2347
359	1322	2351
360	1323	2343
361	1325	2336
362	1327	2329
363	1328	2321
364	1330	2314
365	1334	2311
366	1336	2304
367	1338	2298
368	1339	2290
369	1340	2283
370	1342	2275
371	1343	2268
372	1345	2261
373	1350	2259
374	1353	2255
375	1355	2248
376	1356	2241
377	1357	2234
378	1359	2227
379	1360	2220
380	1367	2220
381	1369	2214
382	1370	2207
383	1371	2200
384	1373	2194
385	1374	2187
386	1376	2180
387	1380	2177
388	1382	2171
389	1383	2164
390	1385	2157
391	1386	2150
392	1387	2143
393	1389	2136
394	1391	2130
395	1392	2123
396	1399	2126
397	1401	2119
398	1402	2113
399	1404	2106
400	1405	2099
401	1407	2093
402	1408	2086
403	1415	2087
404	1417	2081
405	1418	2075
406	1420	2069
407	1421	2062
408	1423	2056
409	1427	2054
410	1429	2048
411	1430	2041
412	1431	2034
413	1432	2028
414	1434	2021
415	1435	2015
416	1436	2008
417	1437	2001
418	1438	1995
419	1443	1993
